,,,M卷,,,
,,,姓名,40,41,42
AB卷,年级,院区,标准答案,C,E,D
A,1,A,1,2,2,2
A,2,A,2,0,0,0
A,2,A,3,0,0,0
A,1,A,4,2,2,0
A,1,A,5,0,0,2
A,1,A,6,0,2,2
A,2,A,7,2,2,0
A,3,A,8,0,2,0
A,3,A,9,2,2,0
A,2,A,10,0,2,2
A,1,A,11,0,0,2
A,2,A,12,2,2,0
A,1,B,13,0,2,2
A,2,A,14,0,2,0
A,1,B,15,2,2,0
A,1,B,16,0,0,0
A,2,B,17,2,0,0
A,1,B,18,2,2,2
A,3,B,19,0,0,2
A,3,B,20,2,2,2
A,3,A,21,0,2,2
A,2,A,22,2,0,0
A,2,B,23,0,2,2
A,2,B,24,2,2,2
A,3,B,25,2,2,2
B,1,A,26,0,2,2
B,3,A,27,0,2,2
B,3,A,28,2,2,2
B,2,B,29,2,2,2
B,2,B,30,2,2,2
B,1,B,31,0,0,2
B,1,B,32,2,2,0
B,1,A,33,2,2,0
B,2,A,34,2,2,0
B,2,B,35,0,2,2
B,1,B,36,0,2,0
B,2,B,37,2,2,0
B,2,A,38,2,2,2
B,3,B,39,0,0,2
B,2,A,40,2,2,0
B,2,A,41,0,0,0
B,2,A,42,0,2,2
B,3,A,43,0,2,0
B,1,A,44,0,2,2
B,1,A,45,0,2,2
B,2,A,46,0,2,2
B,1,A,47,0,2,0
B,1,A,48,0,2,2
B,1,A,49,0,0,0
B,3,A,50,2,2,0
,,,,44,76,54
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
