,,,P卷,,,,,,,
,,,姓名,3,4,5,8,16,17,20
AB卷,年级,院区,标准答案,A,C,B,E,A,C,A
A,1,A,1,2,2,2,2,0,2,0
A,2,A,2,2,2,2,2,0,0,0
A,2,A,3,0,2,2,2,0,0,2
A,1,A,4,2,0,0,2,0,0,0
A,1,A,5,2,0,2,2,2,0,0
A,1,A,6,2,2,2,2,2,0,0
A,2,A,7,0,2,2,2,0,2,0
A,3,A,8,2,0,2,2,0,0,2
A,3,A,9,2,2,2,2,0,2,2
A,2,A,10,2,0,2,2,0,2,2
A,1,A,11,2,2,2,2,0,0,2
A,2,A,12,2,2,2,2,2,2,2
A,1,B,13,0,2,2,2,0,2,2
A,2,A,14,2,2,2,2,2,2,2
A,1,B,15,2,2,2,2,2,0,0
A,1,B,16,0,0,2,2,0,0,2
A,2,B,17,2,2,2,2,0,0,0
A,1,B,18,2,2,2,2,2,2,0
A,3,B,19,2,2,2,2,0,2,2
A,3,B,20,2,0,0,2,0,2,2
A,3,A,21,2,0,2,2,0,2,2
A,2,A,22,2,2,2,2,2,2,2
A,2,B,23,2,2,2,2,2,2,2
A,2,B,24,2,2,2,2,2,2,2
A,3,B,25,2,2,2,2,2,2,2
B,1,A,26,2,2,2,2,2,2,0
B,3,A,27,2,2,2,2,2,2,2
B,3,A,28,2,2,2,2,2,2,2
B,2,B,29,2,2,2,2,2,2,2
B,2,B,30,2,2,2,2,2,0,2
B,1,B,31,2,2,2,2,2,2,0
B,1,B,32,2,2,0,2,0,0,2
B,1,A,33,2,2,2,2,0,2,2
B,2,A,34,2,2,2,2,2,2,2
B,2,B,35,2,2,2,2,2,2,2
B,1,B,36,2,2,2,2,0,2,2
B,2,B,37,2,2,2,2,2,2,2
B,2,A,38,0,0,2,2,0,0,2
B,3,B,39,0,0,2,2,0,0,2
B,2,A,40,0,0,2,2,2,0,2
B,2,A,41,0,2,0,2,2,2,2
B,2,A,42,0,2,2,2,0,2,0
B,3,A,43,2,2,0,0,0,0,0
B,1,A,44,0,2,2,2,0,0,0
B,1,A,45,2,2,0,2,2,2,0
B,2,A,46,2,2,2,2,0,2,2
B,1,A,47,2,2,2,2,2,2,2
B,1,A,48,2,2,2,2,0,2,2
B,1,A,49,2,2,2,2,0,2,0
B,3,A,50,0,0,0,2,0,2,2
,,,,78,78,86,98,46,66,68
