题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
A1,3,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,否
,4,5,5,5,4,5,5,5,34,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2,53,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,15,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,16,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3,58,否
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,
,19,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,
,20,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,
,,5,5,5,4.4,5,5,4.9,34.3,5,4.9,3.2,4.9,1.7,3.9,3.9,4.8,5,5,5,2.4,1.4,2.8,3,2.9,59.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,1,4,3,5,3,3,3,4,25,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4,57,是
,2,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,3,1,3,3,3,62,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,17,5,4,5,5,4,4,5,32,5,4,3,5,1,4,4,5,5,5,5,3,2,3,3,3,60,否
,26,4,5,4,5,5,5,3,31,5,5,3,3,1,4,4,5,5,5,5,3,2,4,3,4,61,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,28,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,32,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,是
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,是
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,38,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,否
,44,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,
,45,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,
,46,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,
,47,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,
,48,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,
,49,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,
,50,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,
,,4.92,4.88,4.96,4.92,4.88,4.88,4.76,34.2,4.96,4.88,3.08,4.84,2.12,4.16,4,4.92,4.96,4.92,4.96,3.44,2.4,3.4,3,3.4,63.44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A3,4",1,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,3,5,4,5,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,4,5,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,3,4,3,4,67,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,10,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,是
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,33,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,
,34,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,
,36,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,
,,5,4.88888888888889,5,5,5,5,4.88888888888889,34.7777777777778,5,5,3,5,2.94444444444444,5,4,5,5,5,5,4,3,4,3,4.11111111111111,68.0555555555556,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,7,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,10,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,
,11,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,
,,5,5,5,5,5,5,4.66666666666667,34.6666666666667,5,5,3,5,2,5,4,5,5,5,5,4,1.5,3,3,4.5,65,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,5,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,否
,6,5,5,5,5,5,5,5,35,5,3,2,5,1,4,4,5,5,5,5,4,2,3,3,3,59,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,1,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
,20,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,
,21,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,
,22,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,
,,5,5,5,5,5,5,5,35,5,4.81818181818182,2.90909090909091,5,2.09090909090909,4,4,5,5,5,5,4,2.09090909090909,3.72727272727273,3,3.63636363636364,64.2727272727273,
