汇总,次数,比例
合计选择认为是AI的,7,7/140
合计选择认为是人工的,133,133/140
人工被认为是AI,6,6/70
成功识别人工题,64,64/70
AI被认为是人工,69,69/70
成功识别AI题,1,1/70
总正确率,65,65/140
,,
A1汇总,次数,比例
合计选择认为是AI的,1,1/20
合计选择认为是人工的,19,19/20
人工被认为是AI,1,1/10
成功识别人工题,9,9/10
AI被认为是人工,10,10/10
成功识别AI题,0,0/10
总正确率,9,9/20
,,
A2汇总,次数,比例
合计选择认为是AI的,4,4/50
合计选择认为是人工的,46,46/50
人工被认为是AI,3,3/25
成功识别人工题,22,22/25
AI被认为是人工,24,24/25
成功识别AI题,1,1/25
总正确率,23,23/50
,,
A3-4汇总,次数,比例
合计选择认为是AI的,1,1/36
合计选择认为是人工的,35,35/36
人工被认为是AI,1,1/18
成功识别人工题,17,17/18
AI被认为是人工,18,18/18
成功识别AI题,0,0/18
总正确率,17,17/36
,,
B汇总,次数,比例
合计选择认为是AI的,0,0/12
合计选择认为是人工的,12,12/12
人工被认为是AI,0,0/3
成功识别人工题,6,6/6
AI被认为是人工,6,6/6
成功识别AI题,0,0/6
总正确率,6,6/12
,,
X汇总,次数,比例
合计选择认为是AI的,1,1/22
合计选择认为是人工的,21,21/22
人工被认为是AI,1,1/11
成功识别人工题,10,10/11
AI被认为是人工,11,11/11
成功识别AI题,0,0/11
总正确率,10,10/22
