,M卷,,,P卷,,,M+P卷,
,姓名,,,姓名,,,姓名,
,标准答案,,,标准答案,,,标准答案,
低分组,17,34,,43,22,,43,68
,3,38,,32,30,,32,76
,22,42,,31,32,,17,84
,4,46,,4,42,,22,86
,32,46,,22,44,,3,88
,41,46,,39,48,,4,88
,43,46,,3,50,,31,88
,11,48,,17,50,,39,96
,39,48,,2,54,,11,102
,42,50,,6,54,,49,104
,46,50,,11,54,,2,106
,49,50,,15,54,,38,108
,2,52,,49,54,,42,108
,7,52,,50,54,,16,110
,13,52,,21,56,,21,110
,16,52,,38,56,,45,110
,38,52,,45,56,,46,110
,19,54,,16,58,,50,110
,21,54,,18,58,,7,112
,45,54,,40,58,,15,112
,5,56,,42,58,,41,112
,9,56,,7,60,,6,114
,31,56,,19,60,,19,114
,50,56,,30,60,,18,116
,15,58,,46,60,,40,116
,18,58,,5,64,,5,120
,40,58,,10,64,,13,120
,6,60,,27,64,,44,126
,8,62,,44,64,,27,128
,26,62,,41,66,,30,128
,44,62,,1,68,,8,130
,20,64,,8,68,,9,130
,27,64,,13,68,,10,132
,1,66,,20,68,,20,132
,33,66,,12,70,,1,134
,47,66,,24,70,,26,134
高分组,10,68,,25,70,,12,138
,12,68,,26,72,,33,138
,30,68,,33,72,,14,148
,48,68,,9,74,,47,148
,14,72,,23,74,,48,150
,36,76,,14,76,,36,152
,34,78,,36,76,,25,154
,28,80,,35,78,,24,158
,37,80,,37,78,,37,158
,35,82,,29,80,,34,160
,25,84,,28,82,,35,160
,29,86,,34,82,,23,162
,23,88,,47,82,,28,162
,24,88,,48,82,,29,166
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
